umax_c,velocity
0.860447706939989,0.483
0.8126450565544342,0.469
0.7767930687652679,0.468
0.7528917435724904,0.462
0.9560530077110989,0.525
1.6133394505124796,1.047
1.4699314993558146,0.84
1.1472636092533186,0.687
1.2070169222352625,0.739
1.6372407757052572,1.031
1.3862768611810934,0.881
1.2189675848316512,0.76
1.0875102962713752,0.628
1.1592142718497074,0.704
1.1233622840605413,0.677
1.0875102962713752,0.667
1.2189675848316512,0.768
1.2428689100244286,0.781
1.5774874627233133,0.943
1.4699314993558146,0.883
1.2189675848316512,0.778
1.2189675848316512,0.764
1.2428689100244286,0.707
1.0875102962713752,0.626
1.003855658096654,0.597
1.4460301741630373,0.865
1.2070169222352625,0.751
1.5296848123377584,0.893
1.0516583084822089,0.635
0.7528917435724904,0.476
0.7409410809761017,0.463
0.7170397557833242,0.455
0.7170397557833242,0.454
0.7170397557833242,0.451
0.7170397557833242,0.438
0.7050890931869355,0.452
0.7170397557833242,0.46
0.7170397557833242,0.459
0.6931384305905467,0.458
0.6931384305905467,0.445
0.7170397557833242,0.466
0.7170397557833242,0.468
0.7170397557833242,0.48
0.7170397557833242,0.464
0.7528917435724904,0.503
0.7528917435724904,0.511
0.7767930687652679,0.509
0.7528917435724904,0.492
0.7289904183797129,0.483
0.7528917435724904,0.505
0.7767930687652679,0.509
0.7767930687652679,0.511
0.7170397557833242,0.487
0.6931384305905467,0.477
0.7170397557833242,0.471
0.6692371053977693,0.433
0.633385117608603,0.42
0.6214344550122143,0.417
0.46607584125916074,0.297
0.45412517866277197,0.299
0.45412517866277197,0.296
0.44217451606638325,0.298
0.4302238534699945,0.289
0.41827319087360576,0.287
0.41827319087360576,0.287
0.4302238534699945,0.285
0.44217451606638325,0.297
0.44217451606638325,0.297
0.45412517866277197,0.304
0.45412517866277197,0.303
0.46607584125916074,0.309
0.46607584125916074,0.309
0.4302238534699945,0.296
0.4302238534699945,0.294
0.4063225282772171,0.252
0.4063225282772171,0.243
0.4063225282772171,0.246
0.44217451606638325,0.256
0.44217451606638325,0.255
0.5855824672230481,0.328
0.5855824672230481,0.321
0.5616811420302706,0.33
0.5616811420302706,0.309
0.549730479433882,0.309
0.549730479433882,0.309
0.5377798168374932,0.305
0.5377798168374932,0.304
0.5377798168374932,0.303
0.5377798168374932,0.304
0.48997716645193823,0.306
0.5138784916447157,0.326
0.48997716645193823,0.307
0.47802650385554946,0.3
0.47802650385554946,0.3
0.47802650385554946,0.297
0.5258291542411044,0.329
0.5377798168374932,0.321
0.5377798168374932,0.322
0.5138784916447157,0.356
0.501927829048327,0.342
0.501927829048327,0.321
0.5377798168374932,0.342
0.5258291542411044,0.334
0.47802650385554946,0.305
0.46607584125916074,0.295
0.46607584125916074,0.294
0.46607584125916074,0.29
0.47802650385554946,0.3
0.48997716645193823,0.312
0.48997716645193823,0.314
0.47802650385554946,0.309
0.5377798168374932,0.338
0.501927829048327,0.345
